wave n k
0.00043094 0.999920253 6.4665e-06
0.00043194 0.999919876 6.5223e-06
0.00043293 0.999919517 6.5786e-06
0.00043393 0.999919134 6.6356e-06
0.00043493 0.999918771 6.693e-06
0.00043593 0.999918387 6.7509e-06
0.00043694 0.999918019 6.8093e-06
0.00043795 0.999917632 6.8681e-06
0.00043896 0.999917263 6.9274e-06
0.00043997 0.999916872 6.9872e-06
0.00044098 0.999916497 7.0476e-06
0.000442 0.999916103 7.1085e-06
0.00044302 0.999915728 7.1699e-06
0.00044404 0.999915328 7.2318e-06
0.00044506 0.999914949 7.2942e-06
0.00044609 0.999914548 7.357e-06
0.00044712 0.999914164 7.4203e-06
0.00044815 0.999913759 7.4842e-06
0.00044918 0.999913374 7.5487e-06
0.00045022 0.999912963 7.6137e-06
0.00045125 0.999912575 7.6792e-06
0.00045229 0.999912162 7.7453e-06
0.00045334 0.999911771 7.8119e-06
0.00045438 0.999911352 7.8791e-06
0.00045543 0.999910957 7.9468e-06
0.00045648 0.999910537 8.015e-06
0.00045753 0.999910136 8.0839e-06
0.00045859 0.999909713 8.1534e-06
0.00045964 0.999909312 8.2236e-06
0.0004607 0.999908882 8.2942e-06
0.00046177 0.999908477 8.3654e-06
0.00046283 0.999908045 8.4371e-06
0.0004639 0.999907637 8.5095e-06
0.00046497 0.999907199 8.5827e-06
0.00046604 0.999906787 8.6566e-06
0.00046711 0.999906348 8.731e-06
0.00046819 0.99990593 8.806e-06
0.00046927 0.999905488 8.8815e-06
0.00047035 0.99990507 8.9576e-06
0.00047143 0.99990462 9.0343e-06
0.00047252 0.999904198 9.1117e-06
0.00047361 0.999903748 9.1897e-06
0.0004747 0.999903319 9.2685e-06
0.0004758 0.999902864 9.3478e-06
0.00047689 0.999902435 9.4279e-06
0.00047799 0.999901976 9.5087e-06
0.00047909 0.99990154 9.5902e-06
0.0004802 0.999901078 9.6723e-06
0.00048131 0.999900642 9.755e-06
0.00048242 0.999900173 9.8383e-06
0.00048353 0.99989973 9.9222e-06
0.00048464 0.99989926 1.0007e-05
0.00048576 0.99989881 1.0092e-05
0.00048688 0.99989834 1.0179e-05
0.000488 0.99989789 1.0266e-05
0.00048913 0.99989741 1.0353e-05
0.00049025 0.99989696 1.0442e-05
0.00049138 0.99989648 1.0531e-05
0.00049252 0.99989602 1.062e-05
0.00049365 0.99989553 1.0711e-05
0.00049479 0.99989507 1.0802e-05
0.00049593 0.99989458 1.0894e-05
0.00049707 0.99989412 1.0988e-05
0.00049822 0.99989362 1.1082e-05
0.00049937 0.99989316 1.1176e-05
0.00050052 0.99989265 1.1271e-05
0.00050167 0.99989219 1.1367e-05
0.00050283 0.99989168 1.1463e-05
0.00050399 0.99989121 1.1561e-05
0.00050515 0.9998907 1.1659e-05
0.00050632 0.99989022 1.1758e-05
0.00050748 0.99988971 1.1858e-05
0.00050865 0.99988922 1.1959e-05
0.00050983 0.9998887 1.206e-05
0.000511 0.99988822 1.2163e-05
0.00051218 0.9998877 1.2266e-05
0.00051336 0.99988721 1.237e-05
0.00051454 0.99988668 1.2475e-05
0.00051573 0.99988619 1.2581e-05
0.00051692 0.99988565 1.2688e-05
0.00051811 0.99988516 1.2796e-05
0.0005193 0.99988462 1.2905e-05
0.0005205 0.99988412 1.3014e-05
0.0005217 0.99988358 1.3125e-05
0.0005229 0.99988308 1.3236e-05
0.00052411 0.99988253 1.3348e-05
0.00052532 0.99988202 1.3461e-05
0.00052653 0.99988148 1.3575e-05
0.00052774 0.99988096 1.369e-05
0.00052896 0.99988041 1.3805e-05
0.00053018 0.99987989 1.3923e-05
0.0005314 0.99987934 1.4041e-05
0.00053263 0.99987881 1.4159e-05
0.00053385 0.99987825 1.4279e-05
0.00053508 0.99987773 1.4399e-05
0.00053632 0.99987716 1.4521e-05
0.00053755 0.99987663 1.4644e-05
0.00053879 0.99987606 1.4768e-05
0.00054003 0.99987553 1.4893e-05
0.00054128 0.99987495 1.5018e-05
0.00054253 0.99987442 1.5144e-05
0.00054378 0.99987384 1.5272e-05
0.00054503 0.99987329 1.54e-05
0.00054629 0.99987271 1.553e-05
0.00054755 0.99987217 1.5662e-05
0.00054881 0.99987157 1.5794e-05
0.00055007 0.99987103 1.5927e-05
0.00055134 0.99987044 1.6061e-05
0.00055261 0.99986988 1.6196e-05
0.00055389 0.99986928 1.6332e-05
0.00055516 0.99986873 1.6469e-05
0.00055644 0.99986812 1.6608e-05
0.00055773 0.99986756 1.6748e-05
0.00055901 0.99986696 1.689e-05
0.0005603 0.9998664 1.7032e-05
0.00056159 0.99986578 1.7175e-05
0.00056289 0.99986521 1.7319e-05
0.00056418 0.9998646 1.7465e-05
0.00056549 0.99986402 1.7611e-05
0.00056679 0.9998634 1.7759e-05
0.0005681 0.99986283 1.7909e-05
0.00056941 0.9998622 1.806e-05
0.00057072 0.99986162 1.8212e-05
0.00057203 0.99986099 1.8366e-05
0.00057335 0.99986042 1.852e-05
0.00057467 0.99985978 1.8675e-05
0.000576 0.99985919 1.8831e-05
0.00057733 0.99985856 1.8989e-05
0.00057866 0.99985796 1.9148e-05
